THB	฿|THB|Baht|Thailändischer Baht|THB
CAD	C$|CAD|Kanadischer Dollar|kanadischer Dollar|CAD
KWD	KWD|Kuwait-Dinar|Kuwaitischer Dinar|KWD
EUR	€|EUR|Euro|EUR
ZAR	ZAR|Rand|Südafrikanischer Rand|ZAR
JPY	¥|JPY|Yen|japanischer Yen|japanische Yen|JPY
NGN	NGN|Nigerianischer Naira|NGN
CHF	CHF|Schweizer Franken|Franken|Schweizerfranken|Schweizerfrank|Schweizerfr.|Schweizer Fr.|Schweizerfranken|Schweizerfrank|Schweizerfr.|Schweizer Fr.|CHF
CNY	¥|CNY|Renminbi|Yuan|chinesischer Yuan|chinesische Yuan|CNY
BRL	R$|BRL|Real|brasilianischer Real|brasilianische Reais|BRL
INR	₹|INR|Indische Rupie|INR
MXN	MXN|Mex$|Mexikanischer Peso|Peso Mexicano|MXN
USD	$|USD|Dollar|US Dollar|amerikanischer Dollar|amerikanische Dollar|US-Dollar|USD
HKD	HKD|HK$|Hongkong-Dollar|Hong Kong Dollar|Hongkonger Dollar|Hongkong-Dollar|HKD
SGD	SGD|S$|Singapur-Dollar|Singapur Dollar|Singapur-Dollar|SGD
KRW	₩|KRW|Won|südkoreanischer Won|südkoreanische Won|KRW
AUD	AU$|AUD|Australischer Dollar|AUD
SEK	SEK|Schwedische Krone|Krone|Schwedenkrone|SEK
TRY	₺|TRY|Türkische Lira|Lira|TRY
NZD	NZD|Neuseeland-Dollar|Neuseeland Dollar|Neuseeland-Dollar|NZD
NOK	kr|NOK|norwegische Krone|NOK
RON	RON|Leu|rumänischer Leu|RON
AED	AED|Dirham|Vereinigte Arabische Emirate Dirham|Emirati Dirham|VAE-Dirham|AED
RUB	₽|RUB|Ruble|Rubel|Russischer Rubel|RUB
ARS	ARS|Argentinischer Peso|Peso Argentino|ARS
GBP	£|GBP|Pfund|Pfund Sterling|britisches Pfund|Pound Sterling|GBP
VEF	VEF is the former currency of Venezuela, which was replaced by the Bolívar Soberano (VES) in 2018. Therefore, VEF is no longer a valid currency and has no current translations.|VEF
XOF	XOF|CFA-Franc BCEAO|CFA-Franc|Westafrikanischer Franc|Franc CFA BCEAO|Franc CFA|Communauté Financière Africaine BCEAO Franc|XOF
VND	₫|VND|Dong|Vietnamesischer Dong|VND
DKK	kr|DKK|dänische Krone|dänische Kronen|DKK
COP	COP|Peso Colombiano|COP
QAR	QAR|Rial|Katar-Riyal|Katarischer Riyal|Katar-Dollar|Katar-Dinar|Katar-Rupie|Katar-Franken|Katar-Pfund|Katar-Lira|Katar-Schilling|Katar-Peso|Katar-Rubel|Katar-Rupiah|Katar-Ringgit|Katar-Rand|Katar-Krona|Katar-Krone|Katar-Kuna|K|QAR
BOB	BOB|Bolivianischer Boliviano|BOB
IDR	IDR|Rp|Rupiah|Indonesische Rupiah|IDR
CLP	CLP|Chilenischer Peso|Peso Chileno|CLP
CZK	Kč|CZK|Tschechische Krone|tschechische Kronen|CZK
KHR	KHR|Kambodschanischer Riel|KHR
BSD	$|BSD|Bahama-Dollar|Bahamas-Dollar|BSD
PHP	PHP|Philippinischer Peso|Philippinen Peso|PHP
BEF	BEF|Belgischer Franc|Belgische Franc|Belgisches Franc|Franc belge|Belgischer Franken|Belgische Franken|Belgisches Franken|Franken belge (Note: BEF is an obsolete currency code and the Belgian franc was replaced by the euro in 2002)|BEF
ZWD	ZWD is no longer a valid currency code. It was the currency code for the Zimbabwean dollar, which was replaced by the RTGS dollar in 2019.|ZWD
MRO	MRO|Ouguiya|MRO
IRR	IRR|Rial|Iranischer Rial|iranischer Rial|IRR
ZWL	ZWL | Simbabwe-Dollar | Simbabwe-Dollar (seit 2019) | NA (da der Simbabwe-Dollar seit 2019 die offizielle Währung ist und es noch keine etablierten Übersetzungen gibt)|ZWL
ISK	ISK|Íkr|Íslensk króna|Isländische Krone|ISK
PLN	zł|PLN|Złoty|Polnischer Złoty|PLN
HUF	HUF|Forint|Ungarischer Forint|HUF
CRC	CRC|Costa-Rica-Colón|Costa-Rica-Dollar|Costa-Rica-Währung|colón|colones|CRC
VES	VES|Bolívar|Bolívar Soberano|bolivar soberano|bolívar soberano|bolivar|bolívar|VES
BHD	BHD|Bahrain-Dinar|Bahrainischer Dinar|BHD
LKR	LKR|Sri-Lanka-Rupie|Sri-Lanka-Rupien|Sri-Lanka-Rupie|LKR
ILS	₪|ILS|Schekel|neuer Schekel|Israelischer Schekel|ILS
