THB	฿|THB|baht|bahts|THB
CAD	$|CAD|dólar canadiense|dólares canadienses|CAD
KWD	دينار كويتي|KWD|dinar kuwaití|dinares kuwaitíes|KWD
EUR	€|EUR|euro|euros|EUR
ZAR	ZAR|rand|rands|rand sudafricano|rands sudafricanos|ZAR
JPY	¥|JPY|yen|yenes|JPY
NGN	NGN|naira|nairas|NGN
CHF	CHF|franco suizo|francos suizos|CHF
CNY	¥|CNY|yuan|yuanes|renminbi|renminbis|CNY
BRL	R$|BRL|real|reales|BRL
INR	₹|INR|rupoia|rupias|rupia india|rupias indias|INR
MXN	$|MXN|peso|pesos|peso mexicano|pesos mexicanos|MXN
USD	$|USD|dólar|dólares|dólar americano|dólares americanos|USD
HKD	HKD|dólar de Hong Kong|dólares de Hong Kong|HK$|dólar hongkonés|dólares hongkoneses|HKD
SGD	$|SGD|dólar|dólares|dólar de Singapur|dólares de Singapur|SGD
KRW	₩|KRW|won|wones|KRW
AUD	$|AUD|dólar australiano|dólares australianos|AUD
SEK	SEK|corona|coronas|corona sueca|coronas suecas|SEK
TRY	₺|TRY|lira|liras|lira turca|liras turcas|TRY
NZD	NZD|dólar neozelandés|dólares neozelandeses|dólar de Nueva Zelanda|dólares de Nueva Zelanda|NZD
NOK	NOK|corona noruega|coronas noruegas|NOK
RON	RON|lei|leu|leus|RON
AED	AED|dirham|dirhams|dírham|dírhams|AED
RUB	₽|RUB|rublo|rublos|RUB
ARS	$|ARS|peso|pesos argentinos|ARS
GBP	£|GBP|libra|libra esterlina|libras|libras esterlinas|GBP
VEF	VEF is the former currency of Venezuela, which was replaced by the Bolívar Soberano (VES) in 2018.|VEF
XOF	XOF is the currency code for West African CFA franc. Valid translations are: XOF|franco CFA de África Occidental|franco CFA|francos CFA de África Occidental|francos CFA.|XOF
VND	₫|VND|dong|dongs|VND
DKK	DKK|corona|coronas|corona danesa|coronas danesas|DKK
COP	COP|peso|pesos|peso colombiano|pesos colombianos|COP
QAR	QAR|riyal|riyales|rial|riales|QAR
BOB	BOB|boliviano|bolivianos|BOB
IDR	IDR|Rupia|rupias|rupia indonesia|rupias indonesias|IDR
CLP	CLP|Peso|Pesos|Peso Chileno|Pesos Chilenos|CLP
CZK	Kč|CZK|corona|coronas checas|CZK
KHR	KHR|riel|rieles|KHR
BSD	$|BSD|dólar bahameño|dólares bahameños|BSD
PHP	PHP|P|peso|pesos|peso filipino|pesos filipinos|PHP
BEF	BEF was the currency of Belgium until 2002, when it was replaced by the euro. Therefore, it is not a valid currency anymore.|BEF
ZWD	ZWD is no longer a valid currency code. It was replaced by the Zimbabwean dollar (ZWL) in 2009.|ZWD
MRO	MRO has only one valid translation: ouguiya.|MRO
IRR	IRR|rial|riales|toman|tomaanes|IRR
ZWL	ZWL | dólar zimbabuense | dólares zimbabuenses | NA (this currency is not widely used outside Zimbabwe)|ZWL
ISK	ISK|corona|coronas|corona islandesa|coronas islandesas|ISK
PLN	zł|PLN|zloty|zlotys|złoty|złotys|PLN
HUF	HUF|Ft|forint|forints|HUF
CRC	₡|CRC|colón|colones|CRC
VES	VES|bolívar|bolívares|VES
BHD	BHD|dinar bahreiní|dinares bahreiníes|BHD
LKR	LKR|Rs|rupia|rupias|LKR
ILS	₪|ILS|shekel|shekels|nuevo shekel|nuevos shekels|ILS
