THB	฿|THB|バーツ|THB
CAD	$|CAD|カナダドル|CAD
KWD	KWD|クウェートディナール|KWD
EUR	€|EUR|ユーロ|EUR
ZAR	ZAR|南アフリカランド|南アフリカ・ランド|ランド|ZAR
JPY	¥|JPY|円|JPY
NGN	NGN|ナイラ|NGN
CHF	CHF|スイスフラン|フラン|CHF
CNY	¥|CNY|元|人民元|中国元|Renminbi|CNY
BRL	R$|BRL|レアル|BRL
INR	₹|INR|ルピー|INR
MXN	MXN|Mex$|Mexican peso|メキシコペソ|MXN
USD	$|USD|ドル|弗|ダラー|アメリカドル|米ドル|USD
HKD	HKD|香港ドル|香港元|港ドル|港元|HKD
SGD	S$|SGD|シンガポールドル|SGD
KRW	₩|KRW|원|KRW
AUD	A$|AUD|豪ドル|オーストラリアドル|AUD
SEK	SEK|kr|スウェーデンクローナ|SEK
TRY	₺|TRY|リラ|トルコリラ|TRY
NZD	NZD|ニュージーランドドル|NZD
NOK	NOK|クローネ|ノルウェークローネ|NOK
RON	RON|レイ|ルーマニアレイ|RON
AED	AED|ディルハム|アラブ首長国連邦ディルハム|AED
RUB	₽|RUB|ルーブル|ロシアルーブル|RUB
ARS	ARS|アルゼンチンペソ|ARS
GBP	£|GBP|ポンド|パウンド|GBP
VEF	VEF is the former currency of Venezuela, which was replaced by the Bolívar Soberano (VES) in 2018. Therefore, VEF is no longer a valid currency and has no current Japanese translation.|VEF
XOF	"XOF is the currency code for West African CFA franc. Here are some valid translations:

XOF|CFAフラン|フランコ・コンゴフランセ|フランコ・アフリカン・ド・ウエスト|XOF"
VND	₫|VND|ドン|VND
DKK	DKK|クローネ|デンマーククローネ|DKK
COP	COP|コロンビアペソ|COP
QAR	QR|QAR|カタールリアル|QAR
BOB	"BOB stands for Bolivian Boliviano. Here are some valid translations:

BOB | ボリビア・ボリビアーノ | ボリビアの通貨 | ボリビアのお金|BOB"
IDR	IDR|Rp|ルピア|インドネシアルピア|IDR
CLP	CLP|Ch$|Peso Chileno|CLP
CZK	Kč|CZK|コルナ|チェココルナ|CZK
KHR	KHR|カンボジア リエル|KHR
BSD	$|BSD|バハマドル|BSD
PHP	PHP|フィリピンペソ|PHP
BEF	BEF was the currency of Belgium until it was replaced by the euro. Its valid translation is: BEF|ベルギー・フラン|BEF
ZWD	"ZWD is no longer a valid currency code. It was replaced by the RTGS dollar (ZWL) in 2019. Here are the translations for ZWL:

ZWL|RTGSドル|ジンバブエドル|ZWD"
MRO	"MRO stands for Mauritanian Ouguiya, the currency of Mauritania. Here are the valid translations:

MRO|モーリタニア ウギア|モーリタニア ウギヤ|MRO"
IRR	IRR|イラン・リアル|IRR
ZWL	ZWL is the ISO code for the Zimbabwean dollar. However, due to the high inflation rate in Zimbabwe, the government has suspended the use of the Zimbabwean dollar and adopted foreign currencies such as the US dollar, South African rand, and British pound. Therefore, there are no commonly used translations for ZWL at the moment.|ZWL
ISK	ISK|アイスランドクローナ|ISK
PLN	PLN|zł|ポーランドズウォティ|PLN
HUF	HUF|フロリント|フォリント|ハンガリーフォリント|HUF
CRC	₡|CRC|コロン|CRC
VES	VES (Venezuelan Bolívar Soberano) |VES|ボリバル・ソベラノ|ベネズエラ・ボリバル|VES
BHD	BHD|バーレーンディナール|BHD
LKR	රු|LKR|スリランカルピー|LKR
ILS	₪|ILS|シェケル|ILS
